Designator,Val,Package,Mid X,Mid Y,Rotation,Side
J3,SM03B-SRSS-TB,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,40.775000,-123.875000,180.000000,bottom
J6,SM03B-SRSS-TB,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,33.925000,-123.875000,180.000000,bottom
J20,Conn_01x04_Pin,battery,39.038102,-45.100000,180.000000,bottom
L1,3.3u,L_pol_2016,51.391790,-57.200000,90.000000,bottom
LS2,Buzzer,buzzer,26.678713,-118.300000,180.000000,bottom
M1,Vibration,vibrator,55.100000,-113.600000,180.000000,bottom
Q1,BC847,SOT-23,58.187500,-101.450000,180.000000,bottom
R1,DNF,R_0402_1005Metric,56.940000,-60.150000,0.000000,bottom
R2,1k,R_0402_1005Metric,33.250000,-60.750000,180.000000,bottom
R3,33,R_0402_1005Metric,51.000000,-55.000000,180.000000,bottom
R6,3k,R_0402_1005Metric,32.600000,-25.110000,90.000000,bottom
R7,27,R_0402_1005Metric,54.100000,-59.200000,180.000000,bottom
R8,27,R_0402_1005Metric,54.090000,-58.200000,180.000000,bottom
R9,DNF,R_0402_1005Metric,51.475000,-63.735000,-90.000000,bottom
R10,0,R_0402_1005Metric,60.390000,-60.050000,0.000000,bottom
R17,90,R_0402_1005Metric,43.900000,-73.800000,0.000000,bottom
R34,10k,R_0402_1005Metric,47.990000,-93.900000,180.000000,bottom
R35,10k,R_0402_1005Metric,47.990000,-94.900000,180.000000,bottom
R36,10k,R_0402_1005Metric,48.000000,-92.900000,180.000000,bottom
R37,120R,R_0402_1005Metric,43.990000,-94.900000,0.000000,bottom
R38,10k,R_0402_1005Metric,39.500000,-93.500000,90.000000,bottom
R39,100k,R_0402_1005Metric,37.200000,-94.710000,-90.000000,bottom
R44,3k,R_0402_1005Metric,30.590000,-116.000000,0.000000,bottom
R45,3k,R_0402_1005Metric,42.500000,-118.500000,90.000000,bottom
R46,3k,R_0402_1005Metric,54.790000,-116.300000,180.000000,bottom
R47,3k,R_0402_1005Metric,55.100000,-113.600000,180.000000,bottom
R48,3k,R_0402_1005Metric,43.900000,-113.800000,0.000000,bottom
R49,3k,R_0402_1005Metric,30.000000,-107.900000,0.000000,bottom
R50,3k,R_0402_1005Metric,29.310000,-100.200000,0.000000,bottom
R51,3k,R_0402_1005Metric,41.200000,-101.400000,0.000000,bottom
R52,3k,R_0402_1005Metric,55.300000,-99.710000,-90.000000,bottom
R53,3k,R_0402_1005Metric,28.010000,-92.000000,180.000000,bottom
R54,3k,R_0402_1005Metric,41.010000,-89.900000,180.000000,bottom
R55,3k,R_0402_1005Metric,56.810000,-92.000000,0.000000,bottom
R56,3k,R_0402_1005Metric,42.500000,-78.310000,-90.000000,bottom
R57,3k,R_0402_1005Metric,56.910000,-80.100000,180.000000,bottom
R58,3k,R_0402_1005Metric,50.010000,-84.500000,180.000000,bottom
R59,3k,R_0402_1005Metric,29.990000,-80.700000,0.000000,bottom
SW1,SW_Push,power switch,35.301750,-28.100000,180.000000,bottom
U1,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,56.800000,-63.630000,180.000000,bottom
U4,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,42.075000,-85.025000,180.000000,bottom
U5,RP2350_80QFN,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,42.496500,-60.200000,90.000000,bottom
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,30.400000,-61.600000,90.000000,bottom
Y2,RV-3028-C7_32.768kHz_1ppm_TA_QC,MicroCrystal_RV3028C7,41.400000,-94.450000,-90.000000,bottom
